SESSION,COLLEGE,COURSE,"STUDENT ID",NAME,"YEAR LEVEL",SEMESTER,CODE,"SUBJECT NAME","SUBJECT TYPE",UNITS,SECTION,"TEACHER 1","SECTION 2","TEACHER 2",MODALITY,"ENLISTMENT MODE","ADMISSION TYPE",GENDER,P1,P2,P3,GRADE,REMARKS
"SY 25-26 SEM II","College of Engineering and Architecture","Bachelor of Science in Computer Engineering",'25-0801,"VILLANUEVA, SOPHIA REYES",Y1S2,"YEAR 1",GEN004,"Readings in Philippine History",minor,3,COC-FAB-BSCPE1-02,"JUAN FACULTY",COC-FAB-BSCPE1-02,"MARIA FACULTY",FLEX,Regular,Regular,Female,86,88,89,1.75,Passed
"SY 25-26 SEM II","College of Engineering and Architecture","Bachelor of Science in Computer Engineering",'25-0801,"VILLANUEVA, SOPHIA REYES",Y1S2,"YEAR 1","ART 002","Art Appreciation",minor,3,COC-FAB-BSCPE1-02,"JUAN FACULTY",COC-FAB-BSCPE1-02,"MARIA FACULTY",FLEX,Regular,Regular,Female,87,89,90,1.75,Passed
"SY 25-26 SEM II","College of Engineering and Architecture","Bachelor of Science in Computer Engineering",'25-0801,"VILLANUEVA, SOPHIA REYES",Y1S2,"YEAR 1","GEN 001","Purposive Communication",minor,3,COC-FAB-BSCPE1-02,"JUAN FACULTY",COC-FAB-BSCPE1-02,"MARIA FACULTY",FLEX,Regular,Regular,Female,88,90,91,1.75,Passed
"SY 25-26 SEM II","College of Engineering and Architecture","Bachelor of Science in Computer Engineering",'25-0801,"VILLANUEVA, SOPHIA REYES",Y1S2,"YEAR 1","GEN 005","The Contemporary World",minor,3,COC-FAB-BSCPE1-02,"JUAN FACULTY",COC-FAB-BSCPE1-02,"MARIA FACULTY",FLEX,Regular,Regular,Female,89,91,92,1.50,Passed
"SY 25-26 SEM II","College of Engineering and Architecture","Bachelor of Science in Computer Engineering",'25-0801,"VILLANUEVA, SOPHIA REYES",Y1S2,"YEAR 1","MAT 076","Calculus 2",minor,3,COC-FAB-BSCPE1-02,"JUAN FACULTY",COC-FAB-BSCPE1-02,"MARIA FACULTY",FLEX,Regular,Regular,Female,86,88,89,1.75,Passed
"SY 25-26 SEM II","College of Engineering and Architecture","Bachelor of Science in Computer Engineering",'25-0801,"VILLANUEVA, SOPHIA REYES",Y1S2,"YEAR 1","PHY 032","Physics for Engineers (Calculus Based)",core,4,COC-FAB-BSCPE1-02,"JUAN FACULTY",COC-FAB-BSCPE1-02,"MARIA FACULTY",FLEX,Regular,Regular,Female,87,89,90,1.75,Passed
"SY 25-26 SEM II","College of Engineering and Architecture","Bachelor of Science in Computer Engineering",'25-0801,"VILLANUEVA, SOPHIA REYES",Y1S2,"YEAR 1","ITE 030","Object-Oriented Programming",core,2,COC-FAB-BSCPE1-02,"JUAN FACULTY",COC-FAB-BSCPE1-02,"MARIA FACULTY",FLEX,Regular,Regular,Female,88,90,91,1.75,Passed
"SY 25-26 SEM II","College of Engineering and Architecture","Bachelor of Science in Computer Engineering",'25-0801,"VILLANUEVA, SOPHIA REYES",Y1S2,"YEAR 1","NST 022","National Service Training Program 2",minor,3,COC-FAB-BSCPE1-02,"JUAN FACULTY",COC-FAB-BSCPE1-02,"MARIA FACULTY",FLEX,Regular,Regular,Female,89,91,92,1.50,Passed
"SY 25-26 SEM II","College of Engineering and Architecture","Bachelor of Science in Computer Engineering",'25-0801,"VILLANUEVA, SOPHIA REYES",Y1S2,"YEAR 1","ITE 290","Object-Oriented Programming",core,2,COC-FAB-BSCPE1-02,"JUAN FACULTY",COC-FAB-BSCPE1-02,"MARIA FACULTY",FLEX,Regular,Regular,Female,86,88,89,1.75,Passed
"SY 25-26 SEM II","College of Engineering and Architecture","Bachelor of Science in Computer Engineering",'25-0802,"BAUTISTA, JOSHUA LIM",Y1S2,"YEAR 1",GEN004,"Readings in Philippine History",minor,3,COC-FAB-BSCPE1-02,"PEDRO FACULTY",COC-FAB-BSCPE1-02,"ANA FACULTY",FLEX,Regular,Regular,Male,82,84,85,2.25,Passed
"SY 25-26 SEM II","College of Engineering and Architecture","Bachelor of Science in Computer Engineering",'25-0802,"BAUTISTA, JOSHUA LIM",Y1S2,"YEAR 1","ART 002","Art Appreciation",minor,3,COC-FAB-BSCPE1-02,"PEDRO FACULTY",COC-FAB-BSCPE1-02,"ANA FACULTY",FLEX,Regular,Regular,Male,83,85,86,2.00,Passed
"SY 25-26 SEM II","College of Engineering and Architecture","Bachelor of Science in Computer Engineering",'25-0802,"BAUTISTA, JOSHUA LIM",Y1S2,"YEAR 1","GEN 001","Purposive Communication",minor,3,COC-FAB-BSCPE1-02,"PEDRO FACULTY",COC-FAB-BSCPE1-02,"ANA FACULTY",FLEX,Regular,Regular,Male,84,86,87,2.00,Passed
"SY 25-26 SEM II","College of Engineering and Architecture","Bachelor of Science in Computer Engineering",'25-0802,"BAUTISTA, JOSHUA LIM",Y1S2,"YEAR 1","GEN 005","The Contemporary World",minor,3,COC-FAB-BSCPE1-02,"PEDRO FACULTY",COC-FAB-BSCPE1-02,"ANA FACULTY",FLEX,Regular,Regular,Male,85,87,88,2.00,Passed
"SY 25-26 SEM II","College of Engineering and Architecture","Bachelor of Science in Computer Engineering",'25-0802,"BAUTISTA, JOSHUA LIM",Y1S2,"YEAR 1","MAT 076","Calculus 2",minor,3,COC-FAB-BSCPE1-02,"PEDRO FACULTY",COC-FAB-BSCPE1-02,"ANA FACULTY",FLEX,Regular,Regular,Male,82,84,85,2.25,Passed
"SY 25-26 SEM II","College of Engineering and Architecture","Bachelor of Science in Computer Engineering",'25-0802,"BAUTISTA, JOSHUA LIM",Y1S2,"YEAR 1","PHY 032","Physics for Engineers (Calculus Based)",core,4,COC-FAB-BSCPE1-02,"PEDRO FACULTY",COC-FAB-BSCPE1-02,"ANA FACULTY",FLEX,Regular,Regular,Male,83,85,86,2.00,Passed
"SY 25-26 SEM II","College of Engineering and Architecture","Bachelor of Science in Computer Engineering",'25-0802,"BAUTISTA, JOSHUA LIM",Y1S2,"YEAR 1","ITE 030","Object-Oriented Programming",core,2,COC-FAB-BSCPE1-02,"PEDRO FACULTY",COC-FAB-BSCPE1-02,"ANA FACULTY",FLEX,Regular,Regular,Male,84,86,87,2.00,Passed
"SY 25-26 SEM II","College of Engineering and Architecture","Bachelor of Science in Computer Engineering",'25-0802,"BAUTISTA, JOSHUA LIM",Y1S2,"YEAR 1","NST 022","National Service Training Program 2",minor,3,COC-FAB-BSCPE1-02,"PEDRO FACULTY",COC-FAB-BSCPE1-02,"ANA FACULTY",FLEX,Regular,Regular,Male,85,87,88,2.00,Passed
"SY 25-26 SEM II","College of Engineering and Architecture","Bachelor of Science in Computer Engineering",'25-0802,"BAUTISTA, JOSHUA LIM",Y1S2,"YEAR 1","ITE 290","Object-Oriented Programming",core,2,COC-FAB-BSCPE1-02,"PEDRO FACULTY",COC-FAB-BSCPE1-02,"ANA FACULTY",FLEX,Regular,Regular,Male,82,84,85,2.25,Passed
