SESSION,COLLEGE,COURSE,"STUDENT ID",NAME,"YEAR LEVEL",SEMESTER,CODE,"SUBJECT NAME","SUBJECT TYPE",UNITS,SECTION,"TEACHER 1","SECTION 2","TEACHER 2",MODALITY,"ENLISTMENT MODE","ADMISSION TYPE",GENDER,P1,P2,P3,GRADE,REMARKS
"SY 25-26 SEM I","College of Criminal Justice Education","Bachelor of Science in Criminology",'25-0901,"NAVARRO, MICAH FLORES",Y1S1,"YEAR 1","GEN 001","Purposive Communication",minor,3,COC-FAB-BSCRIM1-01,"JUAN FACULTY",COC-FAB-BSCRIM1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,86,88,89,1.75,Passed
"SY 25-26 SEM I","College of Criminal Justice Education","Bachelor of Science in Criminology",'25-0901,"NAVARRO, MICAH FLORES",Y1S1,"YEAR 1","GEN 002","UNDERSTAND THE SELF",minor,3,COC-FAB-BSCRIM1-01,"JUAN FACULTY",COC-FAB-BSCRIM1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,87,89,90,1.75,Passed
"SY 25-26 SEM I","College of Criminal Justice Education","Bachelor of Science in Criminology",'25-0901,"NAVARRO, MICAH FLORES",Y1S1,"YEAR 1",HIS007,"Life and Works of Rizal",minor,3,COC-FAB-BSCRIM1-01,"JUAN FACULTY",COC-FAB-BSCRIM1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,88,90,91,1.75,Passed
"SY 25-26 SEM I","College of Criminal Justice Education","Bachelor of Science in Criminology",'25-0901,"NAVARRO, MICAH FLORES",Y1S1,"YEAR 1","MAT 152","Mathematics in the Modern World",minor,3,COC-FAB-BSCRIM1-01,"JUAN FACULTY",COC-FAB-BSCRIM1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,89,91,92,1.50,Passed
"SY 25-26 SEM I","College of Criminal Justice Education","Bachelor of Science in Criminology",'25-0901,"NAVARRO, MICAH FLORES",Y1S1,"YEAR 1","CRI 010","Introduction to Criminology",core,3,COC-FAB-BSCRIM1-01,"JUAN FACULTY",COC-FAB-BSCRIM1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,86,88,89,1.75,Passed
"SY 25-26 SEM I","College of Criminal Justice Education","Bachelor of Science in Criminology",'25-0901,"NAVARRO, MICAH FLORES",Y1S1,"YEAR 1","PED 034","PATHFit 1: Movement Competency Training for Criminology",minor,2,COC-FAB-BSCRIM1-01,"JUAN FACULTY",COC-FAB-BSCRIM1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,87,89,90,1.75,Passed
"SY 25-26 SEM I","College of Criminal Justice Education","Bachelor of Science in Criminology",'25-0901,"NAVARRO, MICAH FLORES",Y1S1,"YEAR 1","NST 004","Military Science 1/Civic Welfare Training Service 1",minor,3,COC-FAB-BSCRIM1-01,"JUAN FACULTY",COC-FAB-BSCRIM1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,88,90,91,1.75,Passed
"SY 25-26 SEM I","College of Criminal Justice Education","Bachelor of Science in Criminology",'25-0902,"TORRES, ANDREI SANTIAGO",Y1S1,"YEAR 1","GEN 001","Purposive Communication",minor,3,COC-FAB-BSCRIM1-01,"PEDRO FACULTY",COC-FAB-BSCRIM1-01,"ANA FACULTY",FLEX,Regular,Regular,Male,82,84,85,2.25,Passed
"SY 25-26 SEM I","College of Criminal Justice Education","Bachelor of Science in Criminology",'25-0902,"TORRES, ANDREI SANTIAGO",Y1S1,"YEAR 1","GEN 002","UNDERSTAND THE SELF",minor,3,COC-FAB-BSCRIM1-01,"PEDRO FACULTY",COC-FAB-BSCRIM1-01,"ANA FACULTY",FLEX,Regular,Regular,Male,83,85,86,2.00,Passed
"SY 25-26 SEM I","College of Criminal Justice Education","Bachelor of Science in Criminology",'25-0902,"TORRES, ANDREI SANTIAGO",Y1S1,"YEAR 1",HIS007,"Life and Works of Rizal",minor,3,COC-FAB-BSCRIM1-01,"PEDRO FACULTY",COC-FAB-BSCRIM1-01,"ANA FACULTY",FLEX,Regular,Regular,Male,84,86,87,2.00,Passed
"SY 25-26 SEM I","College of Criminal Justice Education","Bachelor of Science in Criminology",'25-0902,"TORRES, ANDREI SANTIAGO",Y1S1,"YEAR 1","MAT 152","Mathematics in the Modern World",minor,3,COC-FAB-BSCRIM1-01,"PEDRO FACULTY",COC-FAB-BSCRIM1-01,"ANA FACULTY",FLEX,Regular,Regular,Male,85,87,88,2.00,Passed
"SY 25-26 SEM I","College of Criminal Justice Education","Bachelor of Science in Criminology",'25-0902,"TORRES, ANDREI SANTIAGO",Y1S1,"YEAR 1","CRI 010","Introduction to Criminology",core,3,COC-FAB-BSCRIM1-01,"PEDRO FACULTY",COC-FAB-BSCRIM1-01,"ANA FACULTY",FLEX,Regular,Regular,Male,82,84,85,2.25,Passed
"SY 25-26 SEM I","College of Criminal Justice Education","Bachelor of Science in Criminology",'25-0902,"TORRES, ANDREI SANTIAGO",Y1S1,"YEAR 1","PED 034","PATHFit 1: Movement Competency Training for Criminology",minor,2,COC-FAB-BSCRIM1-01,"PEDRO FACULTY",COC-FAB-BSCRIM1-01,"ANA FACULTY",FLEX,Regular,Regular,Male,83,85,86,2.00,Passed
"SY 25-26 SEM I","College of Criminal Justice Education","Bachelor of Science in Criminology",'25-0902,"TORRES, ANDREI SANTIAGO",Y1S1,"YEAR 1","NST 004","Military Science 1/Civic Welfare Training Service 1",minor,3,COC-FAB-BSCRIM1-01,"PEDRO FACULTY",COC-FAB-BSCRIM1-01,"ANA FACULTY",FLEX,Regular,Regular,Male,84,86,87,2.00,Passed
