SESSION,COLLEGE,COURSE,"STUDENT ID",NAME,"YEAR LEVEL",SEMESTER,CODE,"SUBJECT NAME","SUBJECT TYPE",UNITS,SECTION,"TEACHER 1","SECTION 2","TEACHER 2",MODALITY,"ENLISTMENT MODE","ADMISSION TYPE",GENDER,P1,P2,P3,GRADE,REMARKS
"SY 25-26 SEM II","College of Management and Accountancy","Bachelor of Science in Hospitality Management",'25-1401,"NAVARRO, MICAH FLORES",Y1S2,"YEAR 1","GEN 002","UNDERSTAND THE SELF",minor,3,COC-FAB-BSHM1-02,"JUAN FACULTY",COC-FAB-BSHM1-02,"MARIA FACULTY",FLEX,Regular,Regular,Female,86,88,89,1.75,Passed
"SY 25-26 SEM II","College of Management and Accountancy","Bachelor of Science in Hospitality Management",'25-1401,"NAVARRO, MICAH FLORES",Y1S2,"YEAR 1","GEN 003","Science, Technology, and Society",minor,3,COC-FAB-BSHM1-02,"JUAN FACULTY",COC-FAB-BSHM1-02,"MARIA FACULTY",FLEX,Regular,Regular,Female,87,89,90,1.75,Passed
"SY 25-26 SEM II","College of Management and Accountancy","Bachelor of Science in Hospitality Management",'25-1401,"NAVARRO, MICAH FLORES",Y1S2,"YEAR 1","MAT 152","Mathematics in the Modern World",minor,3,COC-FAB-BSHM1-02,"JUAN FACULTY",COC-FAB-BSHM1-02,"MARIA FACULTY",FLEX,Regular,Regular,Female,88,90,91,1.75,Passed
"SY 25-26 SEM II","College of Management and Accountancy","Bachelor of Science in Hospitality Management",'25-1401,"NAVARRO, MICAH FLORES",Y1S2,"YEAR 1",HIS007,"Life and Works of Rizal",minor,3,COC-FAB-BSHM1-02,"JUAN FACULTY",COC-FAB-BSHM1-02,"MARIA FACULTY",FLEX,Regular,Regular,Female,89,91,92,1.50,Passed
"SY 25-26 SEM II","College of Management and Accountancy","Bachelor of Science in Hospitality Management",'25-1401,"NAVARRO, MICAH FLORES",Y1S2,"YEAR 1","TOU 042","Micro Perspective of Tourism and Hospitality",core,3,COC-FAB-BSHM1-02,"JUAN FACULTY",COC-FAB-BSHM1-02,"MARIA FACULTY",FLEX,Regular,Regular,Female,86,88,89,1.75,Passed
"SY 25-26 SEM II","College of Management and Accountancy","Bachelor of Science in Hospitality Management",'25-1401,"NAVARRO, MICAH FLORES",Y1S2,"YEAR 1","TOU 043","Philippine Culture and Tourism Geography",core,3,COC-FAB-BSHM1-02,"JUAN FACULTY",COC-FAB-BSHM1-02,"MARIA FACULTY",FLEX,Regular,Regular,Female,87,89,90,1.75,Passed
"SY 25-26 SEM II","College of Management and Accountancy","Bachelor of Science in Hospitality Management",'25-1401,"NAVARRO, MICAH FLORES",Y1S2,"YEAR 1","PED 031","Physical Activities Towards Health and Fitness 2 (PATHFit 2) Exercise-based Fitness Activity",minor,2,COC-FAB-BSHM1-02,"JUAN FACULTY",COC-FAB-BSHM1-02,"MARIA FACULTY",FLEX,Regular,Regular,Female,88,90,91,1.75,Passed
"SY 25-26 SEM II","College of Management and Accountancy","Bachelor of Science in Hospitality Management",'25-1401,"NAVARRO, MICAH FLORES",Y1S2,"YEAR 1","NST 022","National Service Training Program 2",minor,3,COC-FAB-BSHM1-02,"JUAN FACULTY",COC-FAB-BSHM1-02,"MARIA FACULTY",FLEX,Regular,Regular,Female,89,91,92,1.50,Passed
"SY 25-26 SEM II","College of Management and Accountancy","Bachelor of Science in Hospitality Management",'25-1402,"TORRES, ANDREI SANTIAGO",Y1S2,"YEAR 1","GEN 002","UNDERSTAND THE SELF",minor,3,COC-FAB-BSHM1-02,"PEDRO FACULTY",COC-FAB-BSHM1-02,"ANA FACULTY",FLEX,Regular,Regular,Male,82,84,85,2.25,Passed
"SY 25-26 SEM II","College of Management and Accountancy","Bachelor of Science in Hospitality Management",'25-1402,"TORRES, ANDREI SANTIAGO",Y1S2,"YEAR 1","GEN 003","Science, Technology, and Society",minor,3,COC-FAB-BSHM1-02,"PEDRO FACULTY",COC-FAB-BSHM1-02,"ANA FACULTY",FLEX,Regular,Regular,Male,83,85,86,2.00,Passed
