SESSION,COLLEGE,COURSE,"STUDENT ID",NAME,"YEAR LEVEL",SEMESTER,CODE,"SUBJECT NAME","SUBJECT TYPE",UNITS,SECTION,"TEACHER 1","SECTION 2","TEACHER 2",MODALITY,"ENLISTMENT MODE","ADMISSION TYPE",GENDER,P1,P2,P3,GRADE,REMARKS
"SY 25-26 SEM I","College of Allied Health and Sciences","Bachelor of Science in Medical Technology",'25-1801,"VILLANUEVA, SOPHIA REYES",Y1S1,"YEAR 1","GEN 001","Purposive Communication",minor,3,COC-FAB-BSMT1-01,"JUAN FACULTY",COC-FAB-BSMT1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,86,88,89,1.75,Passed
"SY 25-26 SEM I","College of Allied Health and Sciences","Bachelor of Science in Medical Technology",'25-1801,"VILLANUEVA, SOPHIA REYES",Y1S1,"YEAR 1","PED 030","Physical Activities Towards Health and Fitness(PATHFit1) Movement Competency Training",minor,2,COC-FAB-BSMT1-01,"JUAN FACULTY",COC-FAB-BSMT1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,87,89,90,1.75,Passed
"SY 25-26 SEM I","College of Allied Health and Sciences","Bachelor of Science in Medical Technology",'25-1801,"VILLANUEVA, SOPHIA REYES",Y1S1,"YEAR 1","NST 021","National Service Training Program 1",minor,3,COC-FAB-BSMT1-01,"JUAN FACULTY",COC-FAB-BSMT1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,88,90,91,1.75,Passed
"SY 25-26 SEM I","College of Allied Health and Sciences","Bachelor of Science in Medical Technology",'25-1801,"VILLANUEVA, SOPHIA REYES",Y1S1,"YEAR 1","ART 002","Art Appreciation",minor,3,COC-FAB-BSMT1-01,"JUAN FACULTY",COC-FAB-BSMT1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,89,91,92,1.50,Passed
"SY 25-26 SEM I","College of Allied Health and Sciences","Bachelor of Science in Medical Technology",'25-1801,"VILLANUEVA, SOPHIA REYES",Y1S1,"YEAR 1","GEN 005","The Contemporary World",minor,3,COC-FAB-BSMT1-01,"JUAN FACULTY",COC-FAB-BSMT1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,86,88,89,1.75,Passed
"SY 25-26 SEM I","College of Allied Health and Sciences","Bachelor of Science in Medical Technology",'25-1801,"VILLANUEVA, SOPHIA REYES",Y1S1,"YEAR 1","GEN 004","Readings in Philippine History",minor,3,COC-FAB-BSMT1-01,"JUAN FACULTY",COC-FAB-BSMT1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,87,89,90,1.75,Passed
"SY 25-26 SEM I","College of Allied Health and Sciences","Bachelor of Science in Medical Technology",'25-1801,"VILLANUEVA, SOPHIA REYES",Y1S1,"YEAR 1","HES 029","Human Anatomy and Physiology with Pathophysiology",core,5,COC-FAB-BSMT1-01,"JUAN FACULTY",COC-FAB-BSMT1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,88,90,91,1.75,Passed
"SY 25-26 SEM I","College of Allied Health and Sciences","Bachelor of Science in Medical Technology",'25-1801,"VILLANUEVA, SOPHIA REYES",Y1S1,"YEAR 1","MLS 037","Principles of Medical Laboratory Science Practice 1",core,3,COC-FAB-BSMT1-01,"JUAN FACULTY",COC-FAB-BSMT1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,89,91,92,1.50,Passed
"SY 25-26 SEM I","College of Allied Health and Sciences","Bachelor of Science in Medical Technology",'25-1802,"BAUTISTA, JOSHUA LIM",Y1S1,"YEAR 1","GEN 001","Purposive Communication",minor,3,COC-FAB-BSMT1-01,"PEDRO FACULTY",COC-FAB-BSMT1-01,"ANA FACULTY",FLEX,Regular,Regular,Male,82,84,85,2.25,Passed
"SY 25-26 SEM I","College of Allied Health and Sciences","Bachelor of Science in Medical Technology",'25-1802,"BAUTISTA, JOSHUA LIM",Y1S1,"YEAR 1","PED 030","Physical Activities Towards Health and Fitness(PATHFit1) Movement Competency Training",minor,2,COC-FAB-BSMT1-01,"PEDRO FACULTY",COC-FAB-BSMT1-01,"ANA FACULTY",FLEX,Regular,Regular,Male,83,85,86,2.00,Passed
