SESSION,COLLEGE,COURSE,"STUDENT ID",NAME,"YEAR LEVEL",SEMESTER,CODE,"SUBJECT NAME","SUBJECT TYPE",UNITS,SECTION,"TEACHER 1","SECTION 2","TEACHER 2",MODALITY,"ENLISTMENT MODE","ADMISSION TYPE",GENDER,P1,P2,P3,GRADE,REMARKS
"SY 25-26 SEM II","College of Allied Health and Sciences","Bachelor of Science in Nursing",'25-1901,"NAVARRO, MICAH FLORES",Y1S2,"YEAR 1","ART 002","Art Appreciation",minor,3,COC-FAB-BSN1-02,"JUAN FACULTY",COC-FAB-BSN1-02,"MARIA FACULTY",FLEX,Regular,Regular,Female,86,88,89,1.75,Passed
"SY 25-26 SEM II","College of Allied Health and Sciences","Bachelor of Science in Nursing",'25-1901,"NAVARRO, MICAH FLORES",Y1S2,"YEAR 1",GEN004,"Readings in Philippine History",minor,3,COC-FAB-BSN1-02,"JUAN FACULTY",COC-FAB-BSN1-02,"MARIA FACULTY",FLEX,Regular,Regular,Female,87,89,90,1.75,Passed
"SY 25-26 SEM II","College of Allied Health and Sciences","Bachelor of Science in Nursing",'25-1901,"NAVARRO, MICAH FLORES",Y1S2,"YEAR 1","GEN 003","Science, Technology, and Society",minor,3,COC-FAB-BSN1-02,"JUAN FACULTY",COC-FAB-BSN1-02,"MARIA FACULTY",FLEX,Regular,Regular,Female,88,90,91,1.75,Passed
"SY 25-26 SEM II","College of Allied Health and Sciences","Bachelor of Science in Nursing",'25-1901,"NAVARRO, MICAH FLORES",Y1S2,"YEAR 1","NUR 097","Health Assessment - Lecture",core,3,COC-FAB-BSN1-02,"JUAN FACULTY",COC-FAB-BSN1-02,"MARIA FACULTY",FLEX,Regular,Regular,Female,89,91,92,1.50,Passed
"SY 25-26 SEM II","College of Allied Health and Sciences","Bachelor of Science in Nursing",'25-1901,"NAVARRO, MICAH FLORES",Y1S2,"YEAR 1","NUR 098","Health Assessment - RLE",core,2,COC-FAB-BSN1-02,"JUAN FACULTY",COC-FAB-BSN1-02,"MARIA FACULTY",FLEX,Regular,Regular,Female,86,88,89,1.75,Passed
"SY 25-26 SEM II","College of Allied Health and Sciences","Bachelor of Science in Nursing",'25-1901,"NAVARRO, MICAH FLORES",Y1S2,"YEAR 1","NUR 091","Fundamentals of Nursing Practice - Lecture",core,3,COC-FAB-BSN1-02,"JUAN FACULTY",COC-FAB-BSN1-02,"MARIA FACULTY",FLEX,Regular,Regular,Female,87,89,90,1.75,Passed
"SY 25-26 SEM II","College of Allied Health and Sciences","Bachelor of Science in Nursing",'25-1901,"NAVARRO, MICAH FLORES",Y1S2,"YEAR 1","NUR 092","Fundamentals of Nursing Practice - RLE",core,2,COC-FAB-BSN1-02,"JUAN FACULTY",COC-FAB-BSN1-02,"MARIA FACULTY",FLEX,Regular,Regular,Female,88,90,91,1.75,Passed
"SY 25-26 SEM II","College of Allied Health and Sciences","Bachelor of Science in Nursing",'25-1901,"NAVARRO, MICAH FLORES",Y1S2,"YEAR 1","PED 031","Physical Activities Towards Health and Fitness 2 (PATHFit 2) Exercise-based Fitness Activity",minor,2,COC-FAB-BSN1-02,"JUAN FACULTY",COC-FAB-BSN1-02,"MARIA FACULTY",FLEX,Regular,Regular,Female,89,91,92,1.50,Passed
"SY 25-26 SEM II","College of Allied Health and Sciences","Bachelor of Science in Nursing",'25-1901,"NAVARRO, MICAH FLORES",Y1S2,"YEAR 1","NST 022","National Service Training Program 2",minor,3,COC-FAB-BSN1-02,"JUAN FACULTY",COC-FAB-BSN1-02,"MARIA FACULTY",FLEX,Regular,Regular,Female,86,88,89,1.75,Passed
"SY 25-26 SEM II","College of Allied Health and Sciences","Bachelor of Science in Nursing",'25-1901,"NAVARRO, MICAH FLORES",Y1S2,"YEAR 1","HES 008","Health Education",core,3,COC-FAB-BSN1-02,"JUAN FACULTY",COC-FAB-BSN1-02,"MARIA FACULTY",FLEX,Regular,Regular,Female,87,89,90,1.75,Passed
"SY 25-26 SEM II","College of Allied Health and Sciences","Bachelor of Science in Nursing",'25-1902,"TORRES, ANDREI SANTIAGO",Y1S2,"YEAR 1","ART 002","Art Appreciation",minor,3,COC-FAB-BSN1-02,"PEDRO FACULTY",COC-FAB-BSN1-02,"ANA FACULTY",FLEX,Regular,Regular,Male,82,84,85,2.25,Passed
"SY 25-26 SEM II","College of Allied Health and Sciences","Bachelor of Science in Nursing",'25-1902,"TORRES, ANDREI SANTIAGO",Y1S2,"YEAR 1",GEN004,"Readings in Philippine History",minor,3,COC-FAB-BSN1-02,"PEDRO FACULTY",COC-FAB-BSN1-02,"ANA FACULTY",FLEX,Regular,Regular,Male,83,85,86,2.00,Passed
"SY 25-26 SEM II","College of Allied Health and Sciences","Bachelor of Science in Nursing",'25-1902,"TORRES, ANDREI SANTIAGO",Y1S2,"YEAR 1","GEN 003","Science, Technology, and Society",minor,3,COC-FAB-BSN1-02,"PEDRO FACULTY",COC-FAB-BSN1-02,"ANA FACULTY",FLEX,Regular,Regular,Male,84,86,87,2.00,Passed
"SY 25-26 SEM II","College of Allied Health and Sciences","Bachelor of Science in Nursing",'25-1902,"TORRES, ANDREI SANTIAGO",Y1S2,"YEAR 1","NUR 097","Health Assessment - Lecture",core,3,COC-FAB-BSN1-02,"PEDRO FACULTY",COC-FAB-BSN1-02,"ANA FACULTY",FLEX,Regular,Regular,Male,85,87,88,2.00,Passed
"SY 25-26 SEM II","College of Allied Health and Sciences","Bachelor of Science in Nursing",'25-1902,"TORRES, ANDREI SANTIAGO",Y1S2,"YEAR 1","NUR 098","Health Assessment - RLE",core,2,COC-FAB-BSN1-02,"PEDRO FACULTY",COC-FAB-BSN1-02,"ANA FACULTY",FLEX,Regular,Regular,Male,82,84,85,2.25,Passed
"SY 25-26 SEM II","College of Allied Health and Sciences","Bachelor of Science in Nursing",'25-1902,"TORRES, ANDREI SANTIAGO",Y1S2,"YEAR 1","NUR 091","Fundamentals of Nursing Practice - Lecture",core,3,COC-FAB-BSN1-02,"PEDRO FACULTY",COC-FAB-BSN1-02,"ANA FACULTY",FLEX,Regular,Regular,Male,83,85,86,2.00,Passed
