SESSION,COLLEGE,COURSE,"STUDENT ID",NAME,"YEAR LEVEL",SEMESTER,CODE,"SUBJECT NAME","SUBJECT TYPE",UNITS,SECTION,"TEACHER 1","SECTION 2","TEACHER 2",MODALITY,"ENLISTMENT MODE","ADMISSION TYPE",GENDER,P1,P2,P3,GRADE,REMARKS
"SY 25-26 SEM I","College of Allied Health and Sciences","Bachelor of Science in Psychology",'25-2101,"DELA CRUZ, ANA SANTOS",Y1S1,"YEAR 1","GEN 001","Purposive Communication",minor,3,COC-FAB-BSPSY1-01,"JUAN FACULTY",COC-FAB-BSPSY1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,86,88,89,1.75,Passed
"SY 25-26 SEM I","College of Allied Health and Sciences","Bachelor of Science in Psychology",'25-2101,"DELA CRUZ, ANA SANTOS",Y1S1,"YEAR 1",GEN004,"Readings in Philippine History",minor,3,COC-FAB-BSPSY1-01,"JUAN FACULTY",COC-FAB-BSPSY1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,87,89,90,1.75,Passed
"SY 25-26 SEM I","College of Allied Health and Sciences","Bachelor of Science in Psychology",'25-2101,"DELA CRUZ, ANA SANTOS",Y1S1,"YEAR 1","ART 002","Art Appreciation",minor,3,COC-FAB-BSPSY1-01,"JUAN FACULTY",COC-FAB-BSPSY1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,88,90,91,1.75,Passed
"SY 25-26 SEM I","College of Allied Health and Sciences","Bachelor of Science in Psychology",'25-2101,"DELA CRUZ, ANA SANTOS",Y1S1,"YEAR 1","GEN 005","The Contemporary World",minor,3,COC-FAB-BSPSY1-01,"JUAN FACULTY",COC-FAB-BSPSY1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,89,91,92,1.50,Passed
"SY 25-26 SEM I","College of Allied Health and Sciences","Bachelor of Science in Psychology",'25-2101,"DELA CRUZ, ANA SANTOS",Y1S1,"YEAR 1","PSY 079","Introduction to Psychology",core,3,COC-FAB-BSPSY1-01,"JUAN FACULTY",COC-FAB-BSPSY1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,86,88,89,1.75,Passed
"SY 25-26 SEM I","College of Allied Health and Sciences","Bachelor of Science in Psychology",'25-2101,"DELA CRUZ, ANA SANTOS",Y1S1,"YEAR 1","NST 021","National Service Training Program 1",minor,3,COC-FAB-BSPSY1-01,"JUAN FACULTY",COC-FAB-BSPSY1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,87,89,90,1.75,Passed
"SY 25-26 SEM I","College of Allied Health and Sciences","Bachelor of Science in Psychology",'25-2101,"DELA CRUZ, ANA SANTOS",Y1S1,"YEAR 1","PED 030","Physical Activities Towards Health and Fitness(PATHFit1) Movement Competency Training",minor,2,COC-FAB-BSPSY1-01,"JUAN FACULTY",COC-FAB-BSPSY1-01,"MARIA FACULTY",FLEX,Regular,Regular,Female,88,90,91,1.75,Passed
"SY 25-26 SEM I","College of Allied Health and Sciences","Bachelor of Science in Psychology",'25-2102,"REYES, MIGUEL CRUZ",Y1S1,"YEAR 1","GEN 001","Purposive Communication",minor,3,COC-FAB-BSPSY1-01,"PEDRO FACULTY",COC-FAB-BSPSY1-01,"ANA FACULTY",FLEX,Regular,Regular,Male,82,84,85,2.25,Passed
"SY 25-26 SEM I","College of Allied Health and Sciences","Bachelor of Science in Psychology",'25-2102,"REYES, MIGUEL CRUZ",Y1S1,"YEAR 1",GEN004,"Readings in Philippine History",minor,3,COC-FAB-BSPSY1-01,"PEDRO FACULTY",COC-FAB-BSPSY1-01,"ANA FACULTY",FLEX,Regular,Regular,Male,83,85,86,2.00,Passed
"SY 25-26 SEM I","College of Allied Health and Sciences","Bachelor of Science in Psychology",'25-2102,"REYES, MIGUEL CRUZ",Y1S1,"YEAR 1","ART 002","Art Appreciation",minor,3,COC-FAB-BSPSY1-01,"PEDRO FACULTY",COC-FAB-BSPSY1-01,"ANA FACULTY",FLEX,Regular,Regular,Male,84,86,87,2.00,Passed
"SY 25-26 SEM I","College of Allied Health and Sciences","Bachelor of Science in Psychology",'25-2102,"REYES, MIGUEL CRUZ",Y1S1,"YEAR 1","GEN 005","The Contemporary World",minor,3,COC-FAB-BSPSY1-01,"PEDRO FACULTY",COC-FAB-BSPSY1-01,"ANA FACULTY",FLEX,Regular,Regular,Male,85,87,88,2.00,Passed
"SY 25-26 SEM I","College of Allied Health and Sciences","Bachelor of Science in Psychology",'25-2102,"REYES, MIGUEL CRUZ",Y1S1,"YEAR 1","PSY 079","Introduction to Psychology",core,3,COC-FAB-BSPSY1-01,"PEDRO FACULTY",COC-FAB-BSPSY1-01,"ANA FACULTY",FLEX,Regular,Regular,Male,82,84,85,2.25,Passed
"SY 25-26 SEM I","College of Allied Health and Sciences","Bachelor of Science in Psychology",'25-2102,"REYES, MIGUEL CRUZ",Y1S1,"YEAR 1","NST 021","National Service Training Program 1",minor,3,COC-FAB-BSPSY1-01,"PEDRO FACULTY",COC-FAB-BSPSY1-01,"ANA FACULTY",FLEX,Regular,Regular,Male,83,85,86,2.00,Passed
"SY 25-26 SEM I","College of Allied Health and Sciences","Bachelor of Science in Psychology",'25-2102,"REYES, MIGUEL CRUZ",Y1S1,"YEAR 1","PED 030","Physical Activities Towards Health and Fitness(PATHFit1) Movement Competency Training",minor,2,COC-FAB-BSPSY1-01,"PEDRO FACULTY",COC-FAB-BSPSY1-01,"ANA FACULTY",FLEX,Regular,Regular,Male,84,86,87,2.00,Passed
