record_type,student_id_number,first_name,last_name,email,program_id,year_level_id,contact_number,address,academic_status,status,password,subject_code,academic_year_id,semester_id,section_id,grade,evaluation_status,enrolled_date,evaluation_date,modality_id,inc_compliance_deadline,requisite_subject_code,requisite_type
student,2026-IT-IRREG-FAIL-FULL,Brianna,Torres,it.irreg.3rd.failures@example.com,1,3,09189990077,"Cagayan de Oro, Philippines",Irregular,active,ChangeMe123!,,,,,,,,,,,,
grade,2026-IT-IRREG-FAIL-FULL,,,,,,,,,,,GEN 001,1,1,,92,passed,2023-08-15,2023-12-15,,,,
grade,2026-IT-IRREG-FAIL-FULL,,,,,,,,,,,GEN 002,1,1,,91,passed,2023-08-15,2023-12-15,,,,
grade,2026-IT-IRREG-FAIL-FULL,,,,,,,,,,,MAT 152,1,1,,93,passed,2023-08-15,2023-12-15,,,,
grade,2026-IT-IRREG-FAIL-FULL,,,,,,,,,,,ITE 366,1,1,,1.25,passed,2023-08-15,2023-12-15,,,,
grade,2026-IT-IRREG-FAIL-FULL,,,,,,,,,,,PED 030,1,1,,89,passed,2023-08-15,2023-12-15,,,,
grade,2026-IT-IRREG-FAIL-FULL,,,,,,,,,,,NST 021,1,1,,88,passed,2023-08-15,2023-12-15,,,,
grade,2026-IT-IRREG-FAIL-FULL,,,,,,,,,,,SSP 005,1,1,,1.0,passed,2023-08-15,2023-12-15,,,,
grade,2026-IT-IRREG-FAIL-FULL,,,,,,,,,,,ITE 260,1,2,,1.5,passed,2024-01-10,2024-05-10,,,,
grade,2026-IT-IRREG-FAIL-FULL,,,,,,,,,,,ITE 186,1,2,,1.75,passed,2024-01-10,2024-05-10,,,,
grade,2026-IT-IRREG-FAIL-FULL,,,,,,,,,,,GEN 006,1,2,,90,passed,2024-01-10,2024-05-10,,,,
grade,2026-IT-IRREG-FAIL-FULL,,,,,,,,,,,GEN 008,1,2,,87,passed,2024-01-10,2024-05-10,,,,
grade,2026-IT-IRREG-FAIL-FULL,,,,,,,,,,,ITE 048,1,2,,68,failed,2024-01-10,2024-05-10,,,,
grade,2026-IT-IRREG-FAIL-FULL,,,,,,,,,,,ART 002,1,2,,91,passed,2024-01-10,2024-05-10,,,,
grade,2026-IT-IRREG-FAIL-FULL,,,,,,,,,,,GEN 005,1,1,,65,failed,2024-08-15,2024-12-15,,,,
grade,2026-IT-IRREG-FAIL-FULL,,,,,,,,,,,PED 031,1,1,,88,passed,2024-08-15,2024-12-15,,,,
grade,2026-IT-IRREG-FAIL-FULL,,,,,,,,,,,NST 022,1,1,,71,failed,2024-08-15,2024-12-15,,,,
grade,2026-IT-IRREG-FAIL-FULL,,,,,,,,,,,ITE 298,1,1,,1.5,passed,2024-08-15,2024-12-15,,,,
grade,2026-IT-IRREG-FAIL-FULL,,,,,,,,,,,ITE 300,1,1,,1.75,passed,2024-08-15,2024-12-15,,,,
grade,2026-IT-IRREG-FAIL-FULL,,,,,,,,,,,ITE 292,1,2,,74,failed,2025-01-10,2025-05-10,,,,
grade,2026-IT-IRREG-FAIL-FULL,,,,,,,,,,,ITE 031,1,2,,1.5,passed,2025-01-10,2025-05-10,,,,
grade,2026-IT-IRREG-FAIL-FULL,,,,,,,,,,,ITE 083,1,2,,1.75,passed,2025-01-10,2025-05-10,,,,
grade,2026-IT-IRREG-FAIL-FULL,,,,,,,,,,,GEN 003,1,2,,86,passed,2025-01-10,2025-05-10,,,,
grade,2026-IT-IRREG-FAIL-FULL,,,,,,,,,,,PED 032,1,2,,90,passed,2025-01-10,2025-05-10,,,,
grade,2026-IT-IRREG-FAIL-FULL,,,,,,,,,,,ITE 399,1,2,,3.5,failed,2025-01-10,2025-05-10,,,,
