SESSION,COLLEGE,COURSE,STUDENT ID,NAME,YEAR LEVEL,SEMESTER,CODE,SUBJECT NAME,SUBJECT TYPE,UNITS,SECTION,TEACHER 1,SECTION 2,TEACHER 2,MODALITY,ENLISTMENT MODE,ADMISSION TYPE,GENDER,P1,P2,P3,GRADE,REMARKS
SY 25-26 SEM I,College of Information Technology Education,Bachelor of Science in Information Technology,'25-0001,"DELA CRUZ, ANA SANTOS",Y1S1,YEAR 1,ITE 366,Introduction to Computing (Including IT Fundamentals),core,3,COC-FAB-IT1-01,JUAN FACULTY,COC-FAB-IT1-01,MARIA FACULTY,FLEX,Regular,Regular,Female,85,88,90,1.75,Passed
SY 25-26 SEM I,College of Information Technology Education,Bachelor of Science in Information Technology,'25-0001,"DELA CRUZ, ANA SANTOS",Y1S1,YEAR 1,ITE 260,Computer Programming 1,core,3,COC-FAB-IT1-01,JUAN FACULTY,COC-FAB-IT1-01,MARIA FACULTY,FLEX,Regular,Regular,Female,86,89,91,1.75,Passed
SY 25-26 SEM I,College of Information Technology Education,Bachelor of Science in Information Technology,'25-0001,"DELA CRUZ, ANA SANTOS",Y1S1,YEAR 1,GEN 002,UNDERSTAND THE SELF,minor,3,COC-FAB-IT1-01,JUAN FACULTY,COC-FAB-IT1-01,MARIA FACULTY,FLEX,Regular,Regular,Female,87,88,90,1.75,Passed
SY 25-26 SEM I,College of Information Technology Education,Bachelor of Science in Information Technology,'25-0001,"DELA CRUZ, ANA SANTOS",Y1S1,YEAR 1,MAT 152,Mathematics in the Modern World,minor,3,COC-FAB-IT1-01,JUAN FACULTY,COC-FAB-IT1-01,MARIA FACULTY,FLEX,Regular,Regular,Female,84,86,88,2.00,Passed
SY 25-26 SEM I,College of Information Technology Education,Bachelor of Science in Information Technology,'25-0001,"DELA CRUZ, ANA SANTOS",Y1S1,YEAR 1,GEN 001,Purposive Communication,minor,3,COC-FAB-IT1-01,JUAN FACULTY,COC-FAB-IT1-01,MARIA FACULTY,FLEX,Regular,Regular,Female,88,89,91,1.50,Passed
SY 25-26 SEM I,College of Information Technology Education,Bachelor of Science in Information Technology,'25-0001,"DELA CRUZ, ANA SANTOS",Y1S1,YEAR 1,GEN 006,Ethics,minor,3,COC-FAB-IT1-01,JUAN FACULTY,COC-FAB-IT1-01,MARIA FACULTY,FLEX,Regular,Regular,Female,85,87,88,2.00,Passed
SY 25-26 SEM I,College of Information Technology Education,Bachelor of Science in Information Technology,'25-0001,"DELA CRUZ, ANA SANTOS",Y1S1,YEAR 1,PED 030,Physical Activities Towards Health and Fitness(PATHFit1) Movement Competency Training,minor,2,COC-FAB-IT1-01,JUAN FACULTY,COC-FAB-IT1-01,MARIA FACULTY,FLEX,Regular,Regular,Female,90,91,92,1.50,Passed
SY 25-26 SEM I,College of Information Technology Education,Bachelor of Science in Information Technology,'25-0001,"DELA CRUZ, ANA SANTOS",Y1S1,YEAR 1,NST 021,National Service Training Program 1,minor,3,COC-FAB-IT1-01,JUAN FACULTY,COC-FAB-IT1-01,MARIA FACULTY,FLEX,Regular,Regular,Female,86,88,89,1.75,Passed
SY 25-26 SEM II,College of Information Technology Education,Bachelor of Science in Information Technology,'25-0001,"DELA CRUZ, ANA SANTOS",Y1S2,YEAR 1,ITE 186,Computer Programming 2,core,3,COC-FAB-IT1-02,JUAN FACULTY,COC-FAB-IT1-02,MARIA FACULTY,FLEX,Regular,Regular,Female,86,88,90,1.75,Passed
SY 25-26 SEM II,College of Information Technology Education,Bachelor of Science in Information Technology,'25-0001,"DELA CRUZ, ANA SANTOS",Y1S2,YEAR 1,ITE 399,Human Computer Interaction 1,core,3,COC-FAB-IT1-02,JUAN FACULTY,COC-FAB-IT1-02,MARIA FACULTY,FLEX,Regular,Regular,Female,85,87,89,2.00,Passed
SY 25-26 SEM II,College of Information Technology Education,Bachelor of Science in Information Technology,'25-0001,"DELA CRUZ, ANA SANTOS",Y1S2,YEAR 1,ITE 048,Discrete Structures,core,3,COC-FAB-IT1-02,JUAN FACULTY,COC-FAB-IT1-02,MARIA FACULTY,FLEX,Regular,Regular,Female,83,85,87,2.25,Passed
