SESSION,COLLEGE,COURSE,STUDENT ID,NAME,YEAR LEVEL,SEMESTER,CODE,SUBJECT NAME,SUBJECT TYPE,UNITS,SECTION,TEACHER 1,SECTION 2,TEACHER 2,MODALITY,ENLISTMENT MODE,ADMISSION TYPE,GENDER,P1,P2,P3,GRADE,REMARKS
SY 25-26 SEM II,College of Information Technology Education,Bachelor of Science in Information Technology,'25-0001,"DELA CRUZ, ANA SANTOS",Y1S2,YEAR 1,ITE 186,Computer Programming 2,core,3,COC-FAB-IT1-02,JUAN FACULTY,COC-FAB-IT1-02,MARIA FACULTY,FLEX,Regular,Regular,Female,87,89,91,1.75,Passed
SY 25-26 SEM II,College of Information Technology Education,Bachelor of Science in Information Technology,'25-0001,"DELA CRUZ, ANA SANTOS",Y1S2,YEAR 1,ITE 399,Human Computer Interaction 1,core,3,COC-FAB-IT1-02,JUAN FACULTY,COC-FAB-IT1-02,MARIA FACULTY,FLEX,Regular,Regular,Female,86,88,90,1.75,Passed
SY 25-26 SEM II,College of Information Technology Education,Bachelor of Science in Information Technology,'25-0001,"DELA CRUZ, ANA SANTOS",Y1S2,YEAR 1,ITE 048,Discrete Structures,core,3,COC-FAB-IT1-02,JUAN FACULTY,COC-FAB-IT1-02,MARIA FACULTY,FLEX,Regular,Regular,Female,84,86,88,2.00,Passed
SY 25-26 SEM II,College of Information Technology Education,Bachelor of Science in Information Technology,'25-0001,"DELA CRUZ, ANA SANTOS",Y1S2,YEAR 1,GEN 008,Living in the IT Era,minor,3,COC-FAB-IT1-02,JUAN FACULTY,COC-FAB-IT1-02,MARIA FACULTY,FLEX,Regular,Regular,Female,88,90,91,1.50,Passed
SY 25-26 SEM II,College of Information Technology Education,Bachelor of Science in Information Technology,'25-0001,"DELA CRUZ, ANA SANTOS",Y1S2,YEAR 1,ART 002,Art Appreciation,minor,3,COC-FAB-IT1-02,JUAN FACULTY,COC-FAB-IT1-02,MARIA FACULTY,FLEX,Regular,Regular,Female,89,91,92,1.50,Passed
SY 25-26 SEM II,College of Information Technology Education,Bachelor of Science in Information Technology,'25-0001,"DELA CRUZ, ANA SANTOS",Y1S2,YEAR 1,GEN 005,The Contemporary World,minor,3,COC-FAB-IT1-02,JUAN FACULTY,COC-FAB-IT1-02,MARIA FACULTY,FLEX,Regular,Regular,Female,85,87,89,2.00,Passed
SY 25-26 SEM II,College of Information Technology Education,Bachelor of Science in Information Technology,'25-0001,"DELA CRUZ, ANA SANTOS",Y1S2,YEAR 1,PED 031,Physical Activities Towards Health and Fitness 2 (PATHFit 2) Exercise-based Fitness Activity,minor,2,COC-FAB-IT1-02,JUAN FACULTY,COC-FAB-IT1-02,MARIA FACULTY,FLEX,Regular,Regular,Female,91,92,93,1.25,Passed
SY 25-26 SEM II,College of Information Technology Education,Bachelor of Science in Information Technology,'25-0001,"DELA CRUZ, ANA SANTOS",Y1S2,YEAR 1,NST 022,National Service Training Program 2,minor,3,COC-FAB-IT1-02,JUAN FACULTY,COC-FAB-IT1-02,MARIA FACULTY,FLEX,Regular,Regular,Female,87,89,90,1.75,Passed
SY 25-26 SEM II,College of Information Technology Education,Bachelor of Science in Information Technology,'25-0002,"REYES, MIGUEL CRUZ",Y1S2,YEAR 1,ITE 186,Computer Programming 2,core,3,COC-FAB-IT1-02,JUAN FACULTY,COC-FAB-IT1-02,MARIA FACULTY,FLEX,Regular,Regular,Male,84,86,88,2.00,Passed
SY 25-26 SEM II,College of Information Technology Education,Bachelor of Science in Information Technology,'25-0002,"REYES, MIGUEL CRUZ",Y1S2,YEAR 1,ITE 399,Human Computer Interaction 1,core,3,COC-FAB-IT1-02,JUAN FACULTY,COC-FAB-IT1-02,MARIA FACULTY,FLEX,Regular,Regular,Male,83,85,87,2.00,Passed
